output_text,input_text
lizard,lizards
snake,snakes
turtle,turtles
alligator,alligators
crocodile,crocodiles
jellyfish,jellyfish
starfish,starfish
seahorse,seahorses
armadillo,armadillos
porcupine,porcupines
lynx,lynxes
beaver,beavers
badger,badgers
otter,otters
ferret,ferrets
skunk,skunks
hedgehog,hedgehogs
weasel,weasels
platypus,platypuses
sloth,sloths
anteater,anteaters
pangolin,pangolins
gazelle,gazelles
antelope,antelopes
caribou,caribous
bison,bisons
alpaca,alpacas
llama,llamas
emu,emus
cassowary,cassowaries
yak,yaks
cougar,cougars
panther,panthers
leopard,leopards
cheetah,cheetahs
hyena,hyenas
vulture,vultures
falcon,falcons
puffin,puffins
woodpecker,woodpeckers
mole,moles
vole,voles
mongoose,mongooses
meerkat,meerkats
warthog,warthogs
gazelle,gazelles
kangaroo rat,kangaroo rats
guinea pig,guinea pigs
hamster,hamsters
gerbil,gerbils
cricket,crickets
grasshopper,grasshoppers
dragonfly,dragonflies
mantis,mantises
beetle,beetles
firefly,fireflies
cockroach,cockroaches
spider,spiders
scorpion,scorpions
tarantula,tarantulas
centipede,centipedes
millipede,millipedes
earthworm,earthworms
snail,snails
slug,slugs
clam,clams
mussel,mussels
oyster,oysters
barnacle,barnacles
sea urchin,sea urchins
shrimp,shrimps
krill,krills
prawn,prawns
anchovy,anchovies
sardine,sardines
eel,eels
stingray,stingrays
coral,corals
anemone,anemones
polyp,polyps
urchin,urchins
walrus,walruses
narwhal,narwhals
manatee,manatees
dugong,dugongs
gull,gulls
tern,terns
albatross,albatrosses
cormorant,cormorants
frigatebird,frigatebirds
bobcat,bobcats
jackal,jackals
fox,foxes
raccoon,raccoons
opossum,opossums
porcupine,porcupines
armadillo,armadillos
lemur,lemurs
baboon,baboons
mandrill,mandrills
gorilla,gorillas
orangutan,orangutans
chimpanzee,chimpanzees
macaw,macaws
toucan,toucans
stingray,stingrays
seagull,seagulls
cicada,cicadas
grasshopper,grasshoppers
cockroach,cockroaches
alpaca,alpacas
camel,camels
donkey,donkeys
horse,horses
mule,mules
reindeer,reindeer
elk,elks
cougar,cougars
lynx,lynxes
oyster,oysters
squid,squids
ray,rays
shark,sharks
partridge,partridges
pheasant,pheasants
quail,quails
emu,emus
kiwi,kiwis
platypus,platypuses
echidna,echidnas
barracuda,barracudas
goby,gobies
trout,trout
salmon,salmon
perch,perches
bass,bass
cod,cod
pike,pikes
carp,carps
tuna,tunas
marlin,marlins
whiting,whitings
sealion,seals
hippopotamus,hippopotamuses
impala,impalas
springbok,springboks
zebu,zebus
chinchilla,chinchillas
gerbil,gerbils
hedgehog,hedgehogs
wolverine,wolverines
meerkat,meerkats
marmot,marmots
groundhog,groundhogs
chipmunk,chipmunks
squirrel,squirrels
woodchuck,woodchucks
bison,bisons
buffalo,buffalo
gazelle,gazelles
impala,impalas
camel,camels
lemur,lemurs
puma,pumas
cougar,cougars
jaguar,jaguars
serval,servals
caracal,caracals
javelina,javelinas
aardvark,aardvarks
anaconda,anacondas
armadillo,armadillos
warthog,warthogs
coyote,coyotes
jackrabbit,jackrabbits
gerbil,gerbils
impala,impalas
okapi,okapis
wallaby,wallabies
kangaroo,kangaroos
koala,koalas
tasmanian devil,tasmanian devils
crocodile,crocodiles
alligator,alligators
chinchilla,chinchillas
newt,newts
gecko,geckos
geese,geese
quokka,quokkas
axolotl,axolotls
narwhal,narwhals
okapi,okapis
quoll,quolls
tarsier,tarsiers
saiga,saigas
pangolin,pangolins
cuscus,cuscuses
numbat,numbats
kiwi,kiwis
solenodon,solenodons
pudu,pudus
coati,coatis
tamandua,tamanduas
aardwolf,aardwolves
lemuroid ringtail,lemuroid ringtails
civet,civets
fossa,fossas
potoroo,potoroo
bilby,bilbies
gibbon,gibbons
pangolin,pangolins
aardwolf,aardwolves
galago,galagos
quokka,quokkas
numbat,numbats
zorilla,zorillas
bandicoot,bandicoots
vicuña,vicuñas
caecilian,caecilians
pika,pikas
solenodon,solenodons
spiny anteater,spiny anteaters
tamaraw,tamaraws
kākāpō,kākāpōs
saiga,saigas
blue poison arrow frog,blue poison arrow frogs
binturong,binturongs
jaguarundi,jaguarundis
bush baby,bush babies
long-beaked common dolphin,long-beaked common dolphins
platypus,platypuses
mountain pygmy possum,mountain pygmy possums
monk seal,monk seals
black-footed ferret,black-footed ferrets
baiji,baijis
greater bilby,greater bilbies
hoatzin,hoatzins
goblin shark,goblin sharks
vampire bat,vampire bats
malayan pangolin,malayan pangolins
pudu,pudus
maned wolf,maned wolves
marsupial mole,marsupial moles
sand cat,sand cats
jungle cat,jungle cats
akodont,akodonts
tail-less tenrec,tail-less tenrecs
tasmanian tiger,tasmanian tigers
przewalski's horse,przewalski's horses
blubberfin,blubberfins
firetail lemur,firetail lemurs
glowhorn beetle,glowhorn beetles
shadowhawk,shadowhawks
moonfish,moonfishes
crimsonwing bat,crimsonwing bats
slumberfox,slumberfoxes
spikehoof,spikehooves
creekwaddle,creekwaddles
blue-bellied skittertail,blue-bellied skittertails
glimmering bison,glimmering bisons
wilted weasel,wilted weasels
sandwhisker,sandwhiskers
skydancer bird,skydancer birds
nightspike lizard,nightspike lizards
frostling,frostlings
nimbosquid,nimbosquids
glacervine,glacervines
burrowbeast,burrowbeasts
moonbeam tiger,moonbeam tigers
scarbelly jackrabbit,scarbelly jackrabbits
blazebane sword,blazebane swords
crimsonfang dagger,crimsonfang daggers
stormstrike bow,stormstrike bows
arcflare staff,arcflare staffs
shadowreaver axe,shadowreaver axes
emberclaw mace,emberclaw maces
vortex spear,vortex spears
thunderlash whip,thunderlash whips
bloodpiercer crossbow,bloodpiercer crossbows
lightbringer lance,lightbringer lances
frostwrought hammer,frostwrought hammers
spiritbinder katana,spiritbinder katanas
nightshade scythe,nightshade scythes
dragonrend halberd,dragonrend halberds
voidstrike chakram,voidstrike chakrams
soulshard gauntlet,soulshard gauntlets
ironbark greatsword,ironbark greatswords
venomspike spear,venomspike spears
dawnfury flail,dawnfury flails
steelstorm glaive,steelstorm glaives
whisper of the forgotten blade,whispers of the forgotten blade
echoes of the stormbound fist,echoes of the stormbound fists
flame that consumes the dusk,flames that consume the dusk
heart of the shattered sky,hearts of the shattered sky
veil of the silver serpent,veils of the silver serpent
song of the eternal wind,songs of the eternal wind
grip of the endless void,grips of the endless void
howl from the abyssal depths,howls from the abyssal depths
crown of the broken dawn,crowns of the broken dawn
hand of the forgotten king,hands of the forgotten king
tear of the moonlit oracle,tears of the moonlit oracle
blade that cleaves the soul's echo,blades that cleave the soul's echo
echoing fist of the raging storm,echoing fists of the raging storm
cloak of the endless nightshade,cloaks of the endless nightshade
serpent's kiss of the shattered heart,serpent's kisses of the shattered heart
fangs of the sky-bound nightmare,fangs of the sky-bound nightmare
wings of the eternal flame's sorrow,wings of the eternal flame's sorrow
song sung by the thunder's wrath,songs sung by the thunder's wrath
piercing gaze of the twilight hunter,piercing gazes of the twilight hunter
flame that whispers through the void,flames that whisper through the void
shard that pierces the heart of silence,shards that pierce the heart of silence
thorn that blooms in the midnight storm,thorns that bloom in the midnight storm
blade that cuts through the fabric of time,blades that cut through the fabric of time
stone that echoes with forgotten screams,stones that echo with forgotten screams
fang that tastes the blood of forgotten kings,fangs that taste the blood of forgotten kings
hammer that strikes the bones of the earth,hammers that strike the bones of the earth
arrow that pierces the heart of the sky,arrows that pierce the heart of the sky
whip that cracks with the sound of falling stars,whips that crack with the sound of falling stars
staff that bends the will of the stars themselves,staffs that bend the will of the stars themselves
shield that absorbs the fury of the tempest,shields that absorb the fury of the tempest
bow that pulls the moon's light from the heavens,bows that pull the moon's light from the heavens
dagger that dances in the shadows of dreams,daggers that dance in the shadows of dreams
lance that strikes through the veil of reality,lances that strike through the veil of reality
scythe that reaps the whispers of the dead,scythes that reap the whispers of the dead
spoon that stirs the soup of forgotten dreams,spoons that stir the soup of forgotten dreams
broom that sweeps away the last breath of silence,brooms that sweep away the last breath of silence
mug that holds the morning's regret,mugs that hold the morning's regrets
sock that strangles the noise of the clock,socks that strangle the noise of the clock
ladle that scoops the echoes of lost time,ladles that scoop the echoes of lost time
candle that melts the secrets of the night,candles that melt the secrets of the night
towel that dries the tears of forgotten phone calls,towels that dry the tears of forgotten phone calls
clock that ticks the rhythm of missed chances,clocks that tick the rhythm of missed chances
key that unlocks the whispers of forgotten hallways,keys that unlock the whispers of forgotten hallways
vacuum that sucks up the last light of the sunset,vacuums that suck up the last light of the sunset
mop that sways with the dance of spilled coffee,mops that sway with the dance of spilled coffee
frying pan that sizzles with unspoken words,frying pans that sizzle with unspoken words
telephone that rings with the voices of old regrets,telephones that ring with the voices of old regrets
scissors that cut the threads of yesterday's mistakes,scissors that cut the threads of yesterday's mistakes
doorbell that chimes with the weight of forgotten promises,doorbells that chime with the weight of forgotten promises
toaster that burns the edges of bad decisions,toasters that burn the edges of bad decisions
hammer that fixes everything except the mistakes,hammers that fix everything except the mistakes
fork that twirls the threads of regret,forks that twirl the threads of regret
vacuum that sucks up the crumbs of your conscience,vacuums that suck up the crumbs of your conscience
microwave that heats up the leftovers of forgotten thoughts,microwaves that heat up the leftovers of forgotten thoughts
shovel that digs up the remnants of old arguments,shovels that dig up the remnants of old arguments
glue stick that bonds the pieces of broken promises,glue sticks that bond the pieces of broken promises
remote control that pauses the moments you can't rewind,remote controls that pause the moments you can't rewind
keychain that holds the weight of yesterday's decisions,keychains that hold the weight of yesterday's decisions
toothbrush that scrubs away the memories of last night's mistakes,toothbrushes that scrub away the memories of last night's mistakes
plunger that unblocks the flow of regrets,plungers that unblock the flow of regrets
scissors that trim the edges of half-finished projects,scissors that trim the edges of half-finished projects
coffee mug that stirs up the chaos of the morning,coffee mugs that stir up the chaos of the morning
tape dispenser that seals away the last of your patience,tape dispensers that seal away the last of your patience
desk fan that blows away the fumes of last-minute deadlines,desk fans that blow away the fumes of last-minute deadlines
spoon that digs into yesterday’s leftovers,spoons that dig into yesterday’s leftovers
toaster that burns the bread you forgot about,toasters that burn the bread you forgot about
hairdryer that blows away your chances of doing anything productive,hairdryers that blow away your chances of doing anything productive
umbrella that protects you from getting wet but not from bad decisions,umbrellas that protect you from getting wet but not from bad decisions
hammer that fixes the thing you accidentally broke five minutes ago,hammers that fix the thing you accidentally broke five minutes ago
vacuum that picks up everything but the actual dirt,vacuums that pick up everything but the actual dirt
can opener that never opens the can right,can openers that never open the can right
phone charger that only works when it wants to,phone chargers that only work when they want to
fork that stabs the last piece of pizza but never in the right place,forks that stab the last piece of pizza but never in the right place
flashlight that flickers when you need it most,flashlights that flicker when you need them most
rubber band that never quite holds things together,rubber bands that never quite hold things together
scissors that always cut a little bit crooked,scissors that always cut a little bit crooked
stapler that jams halfway through,staplers that jam halfway through
tape dispenser that tangles itself every time you use it,tape dispensers that tangle themselves every time you use them
mop that spreads the mess instead of cleaning it up,mops that spread the mess instead of cleaning it up
wrench that tightens everything but the thing you need it for,wrenches that tighten everything but the thing you need it for
basket that holds your hopes and your empty coffee cups,baskets that hold your hopes and your empty coffee cups
roller skate that makes you go in every direction except forward,roller skates that make you go in every direction except forward
glove that fits everyone but you,gloves that fit everyone but you
clipboard that holds all your plans but none of your willpower,clipboards that hold all your plans but none of your willpower
pen that runs out of ink at the worst possible moment,pens that run out of ink at the worst possible moment
chalk that breaks just before you finish writing the sentence,chalks that break just before you finish writing the sentence
bottle opener that never quite works right,bottle openers that never quite work right
ladder that wobbles when you need it most,ladders that wobble when you need them most
tape measure that’s always a little too short,tape measures that’re always a little too short
backpack that never stays organized for more than five minutes,backpacks that never stay organized for more than five minutes
compass that points in every direction but north,compasses that point in every direction but north
lighter that only works after you’ve given up,lighters that only work after you’ve given up
glasses that fog up the moment you step outside,glasses that fog up the moment you step outside
flash drive that never seems to have enough space,flash drives that never seem to have enough space
rifle that whispers through the gaps in the walls,rifles that whisper through the gaps in the walls
pistol that leaves echoes of its shot,pistols that leave echoes of their shots
shotgun that scatters the thoughts of a thousand decisions,shotguns that scatter the thoughts of a thousand decisions
revolver that spins with the weight of choices you never made,revolvers that spin with the weight of choices you never made
submachine gun that fires in patterns only the shadows understand,submachine guns that fire in patterns only the shadows understand
bolt-action rifle that strikes with the silence of waiting,bolt-action rifles that strike with the silence of waiting
assault rifle that speaks with a voice only the wind can hear,assault rifles that speak with a voice only the wind can hear
carbine that moves with the rhythm of a hurried heartbeat,carbines that move with the rhythm of a hurried heartbeat
sniper rifle that takes aim from the corners of your mind,sniper rifles that take aim from the corners of your mind
machine gun that rages with the fury of forgotten wars,machine guns that rage with the fury of forgotten wars
flintlock pistol that holds the weight of ancient promises,flintlock pistols that hold the weight of ancient promises
shotgun that clears a path through the noise of the world,shotguns that clear a path through the noise of the world
hand cannon that strikes like the first word spoken in a storm,hand cannons that strike like the first word spoken in a storm
SMG that moves in rhythm with the beat of a frantic heart,SMGs that move in rhythm with the beat of a frantic heart
musket that echoes through the halls of forgotten histories,muskets that echo through the halls of forgotten histories
game of hungry hungry hippos that eats everything in sight,games of hungry hungry hippos that eat everything in sight
nick cannon mixtapes that drop with unexpected force,nick cannon mixtapes that drop with unexpected force
deck of cards that always deals a losing hand,decks of cards that always deal a losing hand
tamagotchi that takes more attention than you have,tamagotchis that take more attention than you have
super mario power-up that gives you no extra lives,super mario power-ups that give you no extra lives
flip phone that refuses to hang up when you need it to,flip phones that refuse to hang up when you need them to
neon sign that flickers when you need a warning,neon signs that flicker when you need a warning
lego bricks that always break when you step on them,lego bricks that always break when you step on them
rubik's cube that never seems to line up,rubik's cubes that never seem to line up
fidget spinner that never stops spinning,fidget spinners that never stop spinning
bop it that only responds when you mess up,bop its that only respond when you mess up
monopoly dice that always roll the wrong number,monopoly dice that always roll the wrong number
video game controller that never does what you want,video game controllers that never do what you want
floppy disk that stores everything you forgot to back up,floppy disks that store everything you forgot to back up
mario kart that crashes when you’re in first place,mario karts that crash when you’re in first place
mario-less mario kart cartridge,mario-less mario kart cartridges
flip-phone-powered turbocharger,flip-phone-powered turbochargers
tamagotchi-obsessed distraction ray,tamagotchi-obsessed distraction rays
broken-headphone sound bomb,broken-headphone sound bombs
monopoly-bankrupted dice-roller,monopoly-bankrupted dice-rollers
empty-pizza-box shield,empty-pizza-box shields
no-cartridge game-console controller,no-cartridge game-console controllers
fidget-spin-forever axis,fidget-spin-forever axes
bored-emoji phone screen,bored-emoji phone screens
broken-vape-cloud-shooter,broken-vape-cloud-shooters
lost-battery-flashlight-blaster,lost-battery-flashlight-blasters
forgotten-alarm-clock-tick,forgotten-alarm-clock-ticks
out-of-ink printer-sword,out-of-ink printer-swords
Professor Thistlewick's brass compass,Professor Thistlewick's brass compasses
Madame Zinglebert's crystal thimble,Madame Zinglebert's crystal thimbles
Doctor Quillsby's mechanical mouse,Doctor Quillsby's mechanical mice
Lord Pennyfarthing's pocket watch,Lord Pennyfarthing's pocket watches
Captain Brimbletooth's silver knife,Captain Brimbletooth's silver knives
Baroness Glitterwind's enchanted leaf,Baroness Glitterwind's enchanted leaves
Sir Pocketworth's brass penny,Sir Pocketworth's brass pennies
Colonel Fizzlewick's wooden die,Colonel Fizzlewick's wooden dice
Miss Thornberry's porcelain tooth,Miss Thornberry's porcelain teeth
Duke Whimsworth's copper goose,Duke Whimsworth's copper geese
Lady Sparklebottom's crystal foot,Lady Sparklebottom's crystal feet
Master Tinkerton's mechanical wolf,Master Tinkerton's mechanical wolves
Countess Brambleshire's silver box,Countess Brambleshire's silver boxes
Old Man Fiddlesworth's lucky penny,Old Man Fiddlesworth's lucky pennies
Grandfather Pockington's brass key,Grandfather Pockington's brass keys
Aunt Primrose's china thimble,Aunt Primrose's china thimbles
Admiral Quacksworth's rubber fish,Admiral Quacksworth's rubber fish
Doctor Mumbleworth's spinning top,Doctor Mumbleworth's spinning tops
Madame Flutterby's silk scarf,Madame Flutterby's silk scarves
Professor Bumbleston's wooden half,Professor Bumbleston's wooden halves
Sir Giggleswick's metal hoof,Sir Giggleswick's metal hooves
Lady Twinkleton's glass berry,Lady Twinkleton's glass berries
Baron von Clickington's brass shelf,Baron von Clickington's brass shelves
Captain Wobbleworth's lucky die,Captain Wobbleworth's lucky dice        
